[15:26:18] [main/ERROR]: Can't find the resource index file: C:\Users\Tobias\.gradle\caches\minecraft\assets\indexes\{ASSET_INDEX}.json
[15:26:18] [main/INFO]: Setting user: ForgeDevName
[15:26:19] [Client thread/INFO]: LWJGL Version: 2.9.1
[15:26:24] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:DimensionStorage
[15:26:25] [Sound Library Loader/INFO]: Sound engine started
[15:26:25] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[15:26:25] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[15:26:26] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:DimensionStorage
[15:26:26] [Client thread/INFO]: Created: 256x256 textures/items-atlas
[15:26:26] [Client thread/INFO]: Created: 512x256 textures/blocks-atlas
[15:26:27] [Sound Library Loader/INFO]: Sound engine started
[15:26:29] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:gui.button.press
[15:26:30] [Server thread/INFO]: Starting integrated minecraft server version 1.7.10
[15:26:30] [Server thread/INFO]: Generating keypair
[15:26:30] [Server thread/INFO]: Preparing start region for level 0
[15:26:31] [Server thread/INFO]: Changing view distance to 12, from 10
[15:26:31] [Server thread/INFO]: ForgeDevName[local:E:f5bcacc7] logged in with entity id 237 at (1404.0600509372132, 6.0155550727022, 1292.101981230799)
[15:26:31] [Server thread/INFO]: ForgeDevName joined the game
[15:26:32] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.small
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.gravel
[15:26:33] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.door_open
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.small
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:random.door_close
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:step.grass
[15:26:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:mob.slime.big
